"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10058","execute end-to-end test flow @end-to-end","chromium","Wed Aug 06 14:00:38 GMT+05:45 2025","passed","Wed Aug 06 14:00:48 GMT+05:45 2025","","EndToEndTest.spec.ts","",""
"","2268","Login Test with JSON Data: Invalid login @datadriven","chromium","Wed Aug 06 14:00:45 GMT+05:45 2025","passed","Wed Aug 06 14:00:48 GMT+05:45 2025","","LoginDataDriven.spec.ts","",""
"","1459","Product search test @master @regression","chromium","Wed Aug 06 15:20:09 GMT+05:45 2025","passed","Wed Aug 06 15:20:11 GMT+05:45 2025","","SearchProduct.spec.ts","",""
"","3291","Add product to cart test @master @regression","chromium","Wed Aug 06 15:19:58 GMT+05:45 2025","passed","Wed Aug 06 15:20:01 GMT+05:45 2025","","AddToCart.spec.ts","",""
"","7804","User logout test @master @regression","chromium","Wed Aug 06 15:20:02 GMT+05:45 2025","passed","Wed Aug 06 15:20:09 GMT+05:45 2025","","Logout.spec.ts","",""
"","2303","Login Test with JSON Data: Valid login @datadriven","chromium","Wed Aug 06 14:00:44 GMT+05:45 2025","passed","Wed Aug 06 14:00:46 GMT+05:45 2025","","LoginDataDriven.spec.ts","",""
"","4195","Search for product and add to cart","chromium","Tue Aug 05 13:04:52 GMT+05:45 2025","failed","Tue Aug 05 13:04:56 GMT+05:45 2025","TutorialsNinja Demo Site","Chatgpt.spec.ts","",""
"","2539","Login Test with CSV Data: Invalid login @datadriven","chromium","Wed Aug 06 11:59:06 GMT+05:45 2025","passed","Wed Aug 06 11:59:08 GMT+05:45 2025","","LoginDataDriven.spec.ts","",""
"","3436","Login Test with JSON Data: Invalid loginpassword @datadriven","chromium","Wed Aug 06 11:58:07 GMT+05:45 2025","passed","Wed Aug 06 11:58:10 GMT+05:45 2025","","LoginDataDriven.spec.ts","",""
"","4102","Go to cart and verify product is added","chromium","Tue Aug 05 13:04:52 GMT+05:45 2025","failed","Tue Aug 05 13:04:56 GMT+05:45 2025","TutorialsNinja Demo Site","Chatgpt.spec.ts","",""
"","7432","Homepage should load","chromium","Tue Aug 05 13:04:41 GMT+05:45 2025","passed","Tue Aug 05 13:04:48 GMT+05:45 2025","TutorialsNinja Demo Site","Chatgpt.spec.ts","",""
"","3522","Login Test with CSV Data: Valid login @datadriven","chromium","Wed Aug 06 11:59:10 GMT+05:45 2025","failed","Wed Aug 06 11:59:13 GMT+05:45 2025","","LoginDataDriven.spec.ts","",""
"","2924","Try logging in with dummy credentials","chromium","Tue Aug 05 13:04:48 GMT+05:45 2025","passed","Tue Aug 05 13:04:51 GMT+05:45 2025","TutorialsNinja Demo Site","Chatgpt.spec.ts","",""
"","12986","User registration test @master @sanity @regression","chromium","Wed Aug 06 15:19:59 GMT+05:45 2025","passed","Wed Aug 06 15:20:12 GMT+05:45 2025","","AccountRegistration.spec.ts","",""
"","10825","User login test @master @sanity @regression","chromium","Wed Aug 06 15:19:58 GMT+05:45 2025","passed","Wed Aug 06 15:20:09 GMT+05:45 2025","","Login.spec.ts","",""
